Name_lang,ID,ChrCustomizationOptionID,ChrCustomizationReqID,OrderIndex,UiOrderIndex,Flags,AddedInPatch,SwatchColor[0],SwatchColor[1]
,66,12,35,5,8,0,90001,12287002,0
,67,12,35,6,9,0,90001,-3563710,0
,68,12,35,7,5,0,90001,10319959,0
,69,12,35,8,10,0,90001,7630177,0
,70,12,35,9,11,0,90001,13092807,0
,71,12,35,10,12,0,90001,-13090448,0
,72,12,35,11,13,0,90001,-6581634,-10269341
,73,12,35,12,14,0,90001,-6247249,-11316614
,74,12,10,13,100,0,90001,0,0
None,76,13,141,0,0,0,90001,0,0
Goatee,77,13,141,1,1,0,90001,0,0
Full,78,13,141,2,2,0,90001,0,0
Tufts,79,13,141,3,3,0,90001,0,0
Thick,80,13,141,4,4,0,90001,0,0
Short,81,13,141,5,5,0,90001,0,0
Chin Puff,82,13,141,6,6,0,90001,0,0
Soul Patch,83,13,141,7,7,0,90001,0,0
,85,14,318,0,40,0,90001,-1654626,0
,86,14,318,1,41,0,90001,-2312813,0
,87,14,318,2,42,0,90001,-3036537,0
,88,14,318,3,43,0,90001,-3694724,0
,89,14,318,4,44,0,90001,-4352911,0
,90,14,318,5,45,0,90001,-5076891,0
,91,14,318,6,46,0,90001,-5735078,0
,92,14,318,7,47,0,90001,-6458802,0
,93,14,318,8,48,0,90001,-7116989,0
,94,14,318,9,49,0,90001,-10142692,0
,95,14,12,10,100,0,90001,0,0
,96,14,12,11,101,0,90001,0,0
,97,14,319,12,70,0,90001,12563876,0
,98,14,319,13,71,0,90001,-4544423,0
,99,14,319,14,72,0,90001,-6059911,0
,100,14,10,15,102,0,90001,0,0
,101,14,12,16,103,0,90001,0,0
,102,15,141,0,0,0,90001,0,0
,103,15,141,1,1,0,90001,0,0
,104,15,141,2,2,0,90001,0,0
,105,15,141,3,3,0,90001,0,0
,106,15,141,4,4,0,90001,0,0
,107,15,141,5,5,0,90001,0,0
,108,15,141,6,6,0,90001,0,0
,109,15,141,7,7,0,90001,0,0
,110,15,141,8,8,0,90001,0,0
,111,15,141,9,9,0,90001,0,0
,112,15,141,10,10,0,90001,0,0
,113,15,141,11,11,0,90001,0,0
,114,15,141,12,12,0,90001,0,0
,115,15,141,13,13,0,90001,0,0
,116,15,141,14,14,0,90001,0,0
Straight,132,16,141,0,0,0,90001,0,0
Loose,133,16,141,1,1,0,90001,0,0
Bangs,134,16,141,2,2,0,90001,0,0
Full,135,16,141,3,3,0,90001,0,0
Parted Long,136,16,141,4,4,0,90001,0,0
Flipped,137,16,141,5,5,0,90001,0,0
Tomboy,138,16,141,6,6,0,90001,0,0
Pony Right,139,16,141,7,7,0,90001,0,0
Pony Left,140,16,141,8,8,0,90001,0,0
Straight Bob,141,16,141,9,9,0,90001,0,0
Layered,142,16,141,10,10,0,90001,0,0
Short,143,16,141,11,11,0,90001,0,0
Flirty,144,16,141,12,12,0,90001,0,0
Waved,145,16,141,13,13,0,90001,0,0
Messy Bun,146,16,141,14,14,0,90001,0,0
Parted Short,147,16,141,15,15,0,90001,0,0
Waved Bob,148,16,141,16,16,0,90001,0,0
Rushed,149,16,141,17,17,0,90001,0,0
Soaked,150,16,141,18,18,0,90001,0,0
Retro,151,16,141,19,19,0,90001,0,0
Styled,152,16,141,20,20,0,90001,0,0
Curled,153,16,141,21,21,0,90001,0,0
Raquel,154,16,141,22,22,0,90001,0,0
Simple,155,16,141,23,23,0,90001,0,0
,156,17,41,0,1,0,90001,4734261,0
,157,17,41,1,3,0,90001,9382707,0
,158,17,41,2,5,0,90001,10705719,0
,159,17,41,3,4,0,90001,-3195392,0
,160,17,41,4,7,0,90001,13726464,0
,161,17,41,5,8,0,90001,12287002,0
,162,17,41,6,9,0,90001,13213506,0
,163,17,41,7,6,0,90001,10319959,0
,164,17,41,8,10,0,90001,7630177,0
,165,17,41,9,11,0,90001,12234921,0
,166,17,41,10,12,0,90001,-13615230,0
,167,17,41,11,13,0,90001,-4873338,-6723225
,168,17,41,12,14,0,90001,-5522763,-11446403
,169,17,10,13,100,0,90001,0,0
,353,19,141,0,1,0,90001,-7690706,0
,354,19,141,1,2,0,90001,-5785047,0
,355,19,141,2,3,0,90001,-5395676,0
,356,19,141,3,6,0,90001,-7041237,0
,357,19,141,4,5,0,90001,-6190045,0
,358,19,141,5,4,0,90001,-5399000,0
,359,19,141,6,12,0,90001,-11369111,0
,360,19,141,7,9,0,90001,-8740547,0
,361,19,141,8,8,0,90001,-7162561,0
,362,19,12,9,90,0,90001,0,0
,363,19,12,10,91,0,90001,0,0
,364,19,12,11,92,0,90001,0,0
,365,19,12,12,93,0,90001,0,0
,366,19,12,13,94,0,90001,0,0
,367,19,12,14,95,0,90001,0,0
,368,19,80,15,71,0,90001,9669013,0
,369,19,80,16,70,0,90001,-4550092,0
,370,19,80,17,72,0,90001,-8558503,0
,371,19,12,18,96,0,90001,0,0
,372,19,12,19,97,0,90001,0,0
,373,19,12,20,98,0,90001,0,0
,374,19,12,21,99,0,90001,0,0
,375,19,12,22,100,0,90001,0,0
,376,19,12,23,101,0,90001,0,0
,377,19,12,24,102,0,90001,0,0
,378,19,12,25,103,0,90001,0,0
,379,19,12,26,104,0,90001,0,0
,380,19,12,27,105,0,90001,0,0
,381,19,12,28,106,0,90001,0,0
,382,19,12,29,107,0,90001,0,0
,383,19,10,30,108,0,90001,0,0
,384,20,146,0,0,0,90001,0,0
,385,20,146,1,1,0,90001,0,0
,386,20,146,2,2,0,90001,0,0
,387,20,146,3,3,0,90001,0,0
,388,20,146,4,4,0,90001,0,0
,389,20,146,5,5,0,90001,0,0
,390,20,146,6,6,0,90001,0,0
,391,20,146,7,7,0,90001,0,0
,392,20,146,8,8,0,90001,0,0
,393,20,142,9,9,0,90001,0,0
,394,20,142,10,10,0,90001,0,0
,395,20,142,11,11,0,90001,0,0
,396,20,142,12,12,0,90001,0,0
,397,20,142,13,13,0,90001,0,0
,398,20,142,14,14,0,90001,0,0
,399,20,142,15,15,0,90001,0,0
,400,20,142,16,16,0,90001,0,0
,401,20,142,17,17,0,90001,0,0
Bald,402,21,141,0,0,0,90001,0,0
Topknot,403,21,141,1,1,0,90001,0,0
Chonmage,404,21,141,2,2,0,90001,0,0
Crest,405,21,141,3,3,0,90001,0,0
Tied,406,21,141,4,4,0,90001,0,0
Braided,407,21,141,5,5,0,90001,0,0
Tail,408,21,141,6,6,0,90001,0,0
Spiked,409,21,141,7,7,0,90001,0,0
Mohawk,410,21,141,8,8,0,90001,0,0
Ponytail,411,21,141,9,9,0,90001,0,0
Long,412,21,141,10,10,0,90001,0,0
Wild,413,21,141,11,11,0,90001,0,0
Wedge,414,21,141,12,12,0,90001,0,0
,415,22,141,0,10,0,90001,-13094797,0
,416,22,141,1,4,0,90001,8400393,0
,417,22,141,2,2,0,90001,7340043,0
,418,22,141,3,21,0,90001,7868527,0
,419,22,141,4,20,0,90001,6365306,0
,420,22,141,5,23,0,90001,4999233,0
,421,22,141,6,6,0,90001,6908728,0
,422,22,141,7,22,0,90001,10000782,0
,423,22,141,8,11,0,90001,-11585910,0
,424,22,141,9,9,0,90001,-13477545,0
,425,22,141,10,7,0,90001,-8479621,0
,426,22,10,11,100,0,90001,2829114,0
None,427,23,141,0,0,0,90001,0,0
Stubble,428,23,141,1,1,0,90001,0,0
Chin Puff,429,23,141,2,2,0,90001,0,0
Goatee,430,23,141,3,3,0,90001,0,0
Split,431,23,141,4,4,0,90001,0,0
Full,432,23,141,5,5,0,90001,0,0
Thick,433,23,141,6,6,0,90001,0,0
Tied,434,23,141,7,7,0,90001,0,0
Long,435,23,141,8,8,0,90001,0,0
Braid,436,23,141,9,9,0,90001,0,0
Ringed,437,23,141,10,10,0,90001,0,0
Hunched,438,24,141,0,0,0,90001,0,0
Upright,439,24,141,1,1,0,90001,0,0
,440,25,141,0,1,0,90001,-7161797,0
,441,25,141,1,2,0,90001,-4798662,0
,442,25,141,2,3,0,90001,-4540880,0
,443,25,141,3,6,0,90001,-6186950,0
,444,25,141,4,5,0,90001,-5204683,0
,445,25,141,5,4,0,90001,-4676041,0
,446,25,141,6,12,0,90001,-9066879,0
,447,25,141,7,9,0,90001,-7886771,0
,448,25,141,8,8,0,90001,-6373557,0
,449,25,12,9,90,0,90001,0,0
,450,25,12,10,91,0,90001,0,0
,451,25,89,11,70,0,90001,11839888,0
,452,25,89,12,72,0,90001,-4550092,0
,453,25,89,13,71,0,90001,11048572,0
,454,25,12,14,92,0,90001,0,0
,455,25,12,15,93,0,90001,0,0
,456,25,12,16,94,0,90001,0,0
,457,25,12,17,95,0,90001,0,0
,458,25,12,18,96,0,90001,0,0
,459,25,12,19,97,0,90001,0,0
,460,25,12,20,98,0,90001,0,0
,461,25,12,21,99,0,90001,0,0
,462,25,12,22,100,0,90001,0,0
,463,25,12,23,101,0,90001,0,0
,464,25,12,24,102,0,90001,0,0
,465,25,12,25,103,0,90001,0,0
,466,25,12,26,104,0,90001,0,0
,467,25,12,27,105,0,90001,0,0
,468,25,12,28,106,0,90001,0,0
,469,25,12,29,107,0,90001,0,0
,470,25,12,30,108,0,90001,0,0
,471,25,10,31,109,0,90001,0,0
,472,26,146,0,0,0,90001,0,0
,473,26,146,1,1,0,90001,0,0
,474,26,146,2,2,0,90001,0,0
,475,26,146,3,3,0,90001,0,0
,476,26,146,4,4,0,90001,0,0
,477,26,146,5,5,0,90001,0,0
,478,26,146,6,6,0,90001,0,0
,479,26,146,7,7,0,90001,0,0
,480,26,146,8,8,0,90001,0,0
,481,26,142,9,9,0,90001,0,0
,482,26,142,10,10,0,90001,0,0
,483,26,142,11,11,0,90001,0,0
,484,26,142,12,12,0,90001,0,0
,485,26,142,13,13,0,90001,0,0
,486,26,142,14,14,0,90001,0,0
,487,26,142,15,15,0,90001,0,0
,488,26,142,16,16,0,90001,0,0
,489,26,142,17,17,0,90001,0,0
Topknot,490,27,141,0,0,0,90001,0,0
Tail,491,27,141,1,1,0,90001,0,0
Crest,492,27,141,2,2,0,90001,0,0
Tufts,493,27,141,3,3,0,90001,0,0
Boar Tails,494,27,141,4,4,0,90001,0,0
Horns,495,27,141,5,5,0,90001,0,0
Mane,496,27,141,6,6,0,90001,0,0
Bald,497,27,141,7,7,0,90001,0,0
Wild,498,27,141,8,8,0,90001,0,0
Styled,499,27,141,9,9,0,90001,0,0
Tomboy,500,27,141,10,10,0,90001,0,0
Flipped,501,27,141,11,11,0,90001,0,0
Long,502,27,141,12,12,0,90001,0,0
Bangs,503,27,141,13,13,0,90001,0,0
Braids,504,27,141,14,14,0,90001,0,0
,505,28,141,0,10,0,90001,-13094797,0
,506,28,141,1,4,0,90001,-8376823,0
,507,28,141,2,2,0,90001,-9437173,0
,508,28,141,3,21,0,90001,-8908689,0
,509,28,141,4,20,0,90001,-10411910,0
,510,28,141,5,23,0,90001,4999233,0
,511,28,141,6,6,0,90001,-9868488,0
,512,28,141,7,22,0,90001,-6776434,0
,513,28,141,8,11,0,90001,-11585910,0
,514,28,141,9,9,0,90001,-13477545,0
,515,28,141,10,7,0,90001,-8479621,0
,516,28,10,11,100,0,90001,2829114,0
None,517,29,141,0,0,0,90001,0,0
Gold Hoops,518,29,141,1,1,0,90001,0,0
Gold Helix,519,29,141,2,2,0,90001,0,0
Asymmetric,520,29,141,3,3,0,90001,0,0
Gold Stack,521,29,141,4,4,0,90001,0,0
Plugs,522,29,141,5,5,0,90001,0,0
Bone Helix,523,29,141,6,6,0,90001,0,0
,524,30,141,0,5,0,90001,12222298,0
,525,30,141,1,3,0,90001,-3763615,0
,526,30,141,2,1,0,90001,13611925,0
,527,30,141,3,6,0,90001,12023374,0
,528,30,141,4,9,0,90001,10516049,0
,529,30,141,5,10,0,90001,7757127,0
,530,30,141,6,2,0,90001,12229240,0
,531,30,141,7,4,0,90001,11178619,0
,532,30,141,8,8,0,90001,-6653334,0
,533,30,12,9,100,0,90001,0,0
,534,30,12,10,101,0,90001,0,0
,535,30,12,11,102,0,90001,0,0
,536,30,12,12,103,0,90001,0,0
,537,30,12,13,104,0,90001,0,0
,538,30,12,14,105,0,90001,0,0
,539,30,12,15,106,0,90001,0,0
,540,30,12,16,107,0,90001,0,0
,541,30,12,17,108,0,90001,0,0
,542,30,12,18,109,0,90001,0,0
,543,30,91,19,72,0,90001,-9345451,0
,544,30,91,20,71,0,90001,-7238270,0
,545,30,91,21,70,0,90001,-6189473,0
,546,30,12,22,110,0,90001,0,0
,547,30,12,23,111,0,90001,0,0
,548,30,12,24,112,0,90001,0,0
,549,30,12,25,113,0,90001,0,0
,550,30,10,26,114,0,90001,0,0
,551,31,146,0,0,0,90001,0,0
,552,31,146,1,1,0,90001,0,0
,553,31,146,2,2,0,90001,0,0
,554,31,146,3,3,0,90001,0,0
,555,31,146,4,4,0,90001,0,0
,556,31,146,5,5,0,90001,0,0
,557,31,146,6,6,0,90001,0,0
,558,31,146,7,7,0,90001,0,0
,559,31,146,8,8,0,90001,0,0
,560,31,146,9,9,0,90001,0,0
,561,31,142,10,10,0,90001,0,0
,562,31,142,11,11,0,90001,0,0
,563,31,142,12,12,0,90001,0,0
,564,31,142,13,13,0,90001,0,0
,565,31,142,14,14,0,90001,0,0
,566,31,142,15,15,0,90001,0,0
,567,31,142,16,16,0,90001,0,0
,568,31,142,17,17,0,90001,0,0
,569,31,142,18,18,0,90001,0,0
,570,31,142,19,19,0,90001,0,0
Bald,571,32,141,0,0,0,90001,0,0
Long,572,32,141,1,1,0,90001,0,0
Tail,573,32,141,2,2,0,90001,0,0
Short,574,32,141,3,3,0,90001,0,0
Topknot,575,32,141,4,4,0,90001,0,0
Short Tail,576,32,141,5,5,0,90001,0,0
Swept,577,32,141,6,6,0,90001,0,0
Receding,578,32,141,7,7,0,90001,0,0
Chonmage,579,32,141,8,8,0,90001,0,0
Braid,580,32,141,9,9,0,90001,0,0
Short Braid,581,32,141,10,10,0,90001,0,0
Barbarian,582,32,141,11,11,0,90001,0,0
Soldier,583,32,141,12,12,0,90001,0,0
Scholar,584,32,141,13,13,0,90001,0,0
Monk,585,32,141,14,14,0,90001,0,0
Fabulous,586,32,141,15,15,0,90001,0,0
Triple Knots,587,32,141,16,16,0,90001,0,0
Tousled,588,32,141,17,17,0,90001,0,0
Combover,589,32,141,18,18,0,90001,0,0
,590,33,141,0,5,0,90001,11749888,0
,591,33,141,1,9,0,90001,14386944,0
,592,33,141,2,3,0,90001,10693632,0
,593,33,141,3,8,0,90001,10915698,0
,594,33,141,4,4,0,90001,8405019,0
,595,33,141,5,26,0,90001,-13815746,0
,596,33,141,6,6,0,90001,10907713,0
,597,33,141,7,28,0,90001,-6513508,0
,598,33,141,8,27,0,90001,-10263709,0
,599,33,141,9,22,0,90001,5523489,0
,600,33,141,10,1,0,90001,6821666,0
,601,33,141,11,21,0,90001,-10068404,0
,602,33,141,12,25,0,90001,-14670518,0
,603,33,10,13,100,0,90001,0,0
Full,604,34,141,0,0,0,90001,0,0
Twin Braids,605,34,141,1,1,0,90001,0,0
Groomed,606,34,141,2,2,0,90001,0,0
Short,607,34,141,3,3,0,90001,0,0
Medium,608,34,141,4,4,0,90001,0,0
Ornate,609,34,141,5,5,0,90001,0,0
Thick,610,34,141,6,6,0,90001,0,0
Pointed,611,34,141,7,7,0,90001,0,0
Braided,612,34,141,8,8,0,90001,0,0
Humbug,613,34,141,9,9,0,90001,0,0
Grimbeard,614,34,141,10,10,0,90001,0,0
,615,35,141,0,5,0,90001,13474169,0
,616,35,141,1,1,0,90001,14135429,0
,617,35,141,2,3,0,90001,13280911,0
,618,35,141,3,7,0,90001,13275487,0
,619,35,141,4,8,0,90001,11961180,0
,620,35,141,5,10,0,90001,10119242,0
,621,35,141,6,2,0,90001,13217671,0
,622,35,141,7,4,0,90001,-3693433,0
,623,35,141,8,6,0,90001,-4743787,0
,624,35,12,9,100,0,90001,0,0
,625,35,12,10,101,0,90001,0,0
,626,35,93,11,72,0,90001,-5800083,0
,627,35,93,12,71,0,90001,-5400212,0
,628,35,93,13,70,0,90001,-5529190,0
,629,35,12,14,102,0,90001,0,0
,630,35,12,15,103,0,90001,0,0
,631,35,12,16,104,0,90001,0,0
,632,35,12,17,105,0,90001,0,0
,633,35,10,18,106,0,90001,0,0
,634,36,146,0,0,0,90001,0,0
,635,36,146,1,1,0,90001,0,0
,636,36,146,2,2,0,90001,0,0
,637,36,146,3,3,0,90001,0,0
,638,36,146,4,4,0,90001,0,0
,639,36,146,5,5,0,90001,0,0
,640,36,146,6,6,0,90001,0,0
,641,36,146,7,7,0,90001,0,0
,642,36,146,8,8,0,90001,0,0
,643,36,146,9,9,0,90001,0,0
,644,36,142,10,10,0,90001,0,0
,645,36,142,11,11,0,90001,0,0
,646,36,142,12,12,0,90001,0,0
,647,36,142,13,13,0,90001,0,0
,648,36,142,14,14,0,90001,0,0
,649,36,142,15,15,0,90001,0,0
,650,36,142,16,16,0,90001,0,0
,651,36,142,17,17,0,90001,0,0
,652,36,142,18,18,0,90001,0,0
,653,36,142,19,19,0,90001,0,0
Thick Braids,654,37,141,0,0,0,90001,0,0
Side Buns,655,37,141,1,1,0,90001,0,0
Braided,656,37,141,2,2,0,90001,0,0
Boar Tails,657,37,141,3,3,0,90001,0,0
Braided Bun,658,37,141,4,4,0,90001,0,0
Looped,659,37,141,5,5,0,90001,0,0
Tied,660,37,141,6,6,0,90001,0,0
Short,661,37,141,7,7,0,90001,0,0
Parted,662,37,141,8,8,0,90001,0,0
Short Braids,663,37,141,9,9,0,90001,0,0
Bobbed,664,37,141,10,10,0,90001,0,0
Cropped,665,37,141,11,11,0,90001,0,0
Bangs,666,37,141,12,12,0,90001,0,0
Gathered,667,37,141,13,13,0,90001,0,0
Bun,668,37,141,14,14,0,90001,0,0
Flirty,669,37,141,15,15,0,90001,0,0
Waved Bob,670,37,141,16,16,0,90001,0,0
Braided Tails,671,37,141,17,17,0,90001,0,0
Braided Tail,672,37,141,18,18,0,90001,0,0
Wings,673,37,141,19,19,0,90001,0,0
Sassy Buns,674,37,141,20,20,0,90001,0,0
,675,38,141,0,4,0,90001,-5027328,0
,676,38,141,1,8,0,90001,-2390272,0
,677,38,141,2,2,0,90001,-6083584,0
,678,38,141,3,7,0,90001,-5861518,0
,679,38,141,4,3,0,90001,-8372197,0
,680,38,141,5,26,0,90001,-13815746,0
,681,38,141,6,5,0,90001,-5869503,0
,682,38,141,7,28,0,90001,-6513508,0
,683,38,141,8,27,0,90001,-10263709,0
,684,38,141,9,22,0,90001,-11253727,0
,685,38,141,10,0,0,90001,6821666,0
,686,38,141,11,21,0,90001,-10068404,0
,687,38,141,12,25,0,90001,-14670518,0
,688,38,10,13,100,0,90001,-14670518,0
,695,40,141,0,1,0,90001,10712704,0
,696,40,141,1,3,0,90001,9859719,0
,697,40,141,2,5,0,90001,7888239,0
,698,40,141,3,9,0,90001,9147543,0
,699,40,141,4,7,0,90001,8485513,0
,700,40,141,5,8,0,90001,7962255,0
,701,40,141,6,10,0,90001,10191216,0
,702,40,141,7,11,0,90001,11500916,0
,703,40,141,8,2,0,90001,10905716,0
,704,40,95,9,71,0,90001,12496539,0
,705,40,95,10,70,0,90001,-5726122,0
,706,40,95,11,72,0,90001,7890003,0
,707,40,12,12,100,0,90001,9516317,0
,708,40,12,13,101,0,90001,11513761,0
,709,40,143,14,50,0,90001,10128028,0
,710,40,143,15,52,0,90001,7103359,0
,711,40,143,16,51,0,90001,7497596,0
,712,40,143,17,53,0,90001,-9936514,0
,713,40,143,18,54,0,90001,6840702,0
,714,40,143,19,55,0,90001,-9272426,0
,715,40,10,20,102,0,90001,0,0
,716,40,12,21,103,0,90001,0,0
,717,40,138,22,40,0,90001,8288400,0
,718,40,646,23,41,8,90205,-5395812,0
,719,41,146,0,0,0,90001,0,0
,720,41,146,1,1,0,90001,0,0
,721,41,146,2,6,0,90001,0,0
,722,41,146,3,2,0,90001,0,0
,723,41,146,4,8,0,90001,0,0
,724,41,146,5,10,0,90001,0,0
,725,41,146,6,3,0,90001,0,0
,726,41,146,7,4,0,90001,0,0
,727,41,146,8,5,0,90001,0,0
,728,41,142,9,30,0,90001,0,0
,729,41,142,10,31,0,90001,0,0
,730,41,142,11,36,0,90001,0,0
,731,41,142,12,32,0,90001,0,0
,732,41,142,13,38,0,90001,0,0
,733,41,142,14,40,0,90001,0,0
,734,41,142,15,33,0,90001,0,0
,735,41,142,16,34,0,90001,0,0
,736,41,142,17,35,0,90001,0,0
Mane,737,42,141,0,0,0,90001,0,0
Topknot,738,42,141,1,1,0,90001,0,0
Long,739,42,141,2,2,0,90001,0,0
Ponytail,740,42,141,3,3,0,90001,0,0
Chonmage,741,42,141,4,4,0,90001,0,0
Short Tail,742,42,141,5,5,0,90001,0,0
Windswept,743,42,141,6,6,0,90001,0,0
Short Braid,744,42,141,7,7,0,90001,0,0
Wild,745,42,141,8,8,0,90001,0,0
Long Braid,746,42,141,9,9,0,90001,0,0
Mohawk,747,42,141,10,10,0,90001,0,0
Long Tail,748,42,141,11,11,0,90001,0,0
,749,43,141,0,2,0,90001,5470976,0
,750,43,141,1,4,0,90001,38986,0
,751,43,141,2,5,0,90001,224320,0
,752,43,141,3,6,0,90001,42632,0
,753,43,141,4,24,0,90001,10662851,0
,754,43,141,5,7,0,90001,1404809,0
,755,43,141,6,8,0,90001,3030150,0
,756,43,141,7,20,0,90001,5378694,0
,757,43,141,8,21,0,90001,10295202,0
,758,43,141,9,23,0,90001,11543150,0
,759,43,141,10,3,0,90001,-12625627,0
,760,43,141,11,9,0,90001,-13615795,0
,761,43,141,12,11,0,90001,7363458,0
,762,43,12,13,100,0,90001,2829122,0
None,763,44,141,0,0,0,90001,0,0
Long,764,44,141,3,3,0,90001,0,0
Full,765,44,141,4,4,0,90001,0,0
Tied,766,44,141,5,5,0,90001,0,0
Vines,767,44,141,6,6,0,90001,0,0
Trimmed,768,44,141,7,7,0,90001,0,0
None,769,376,141,0,0,0,90001,0,0
Suffering,770,376,143,1,1,0,90001,0,0
Betrayer,771,376,143,2,2,0,90001,0,0
Pain,772,376,143,3,3,0,90001,0,0
Sacrifice,773,376,143,4,4,0,90001,0,0
Revenge,774,376,143,5,5,0,90001,0,0
,775,46,170,1,1,0,90001,-5439665,0
,776,46,170,2,3,0,90001,-12022729,0
,777,46,170,3,4,0,90001,6098427,0
,778,46,170,4,2,0,90001,-9448655,0
,779,46,170,5,5,0,90001,15140372,0
,780,46,170,6,6,0,90001,4673380,0
None,782,47,141,0,0,0,90001,0,0
Betrayer,783,47,143,1,1,0,90001,0,0
Beast,784,47,143,2,2,0,90001,0,0
Wide,785,47,143,3,3,0,90001,0,0
Ram,786,47,143,4,4,0,90001,0,0
Oni,787,47,143,5,5,0,90001,0,0
High,788,47,143,6,6,0,90001,0,0
None,789,48,145,0,0,0,90001,0,0
Fel,790,48,143,1,1,0,90001,0,0
Phantom,791,48,143,2,2,0,90001,0,0
Fangs,792,48,143,3,3,0,90001,0,0
Bone,793,48,143,4,4,0,90001,0,0
Shield,794,48,143,5,5,0,90001,0,0
Linen,795,48,141,6,6,8,90001,0,0
Brown,796,48,143,7,7,0,90001,-9877197,0
Gray,797,48,143,8,8,0,90001,-9345414,0
Red,798,48,143,9,9,0,90001,-7919329,0
Black,799,48,143,10,10,0,90001,-12963782,0
Green,800,48,143,11,11,0,90001,-9212353,0
,801,49,141,0,1,0,90001,13540523,0
,802,49,141,1,4,0,90001,12293797,0
,803,49,141,2,3,0,90001,12029340,0
,804,49,141,3,5,0,90001,-3627613,0
,805,49,141,4,12,0,90001,11969941,0
,806,49,141,5,11,0,90001,11316148,0
,807,49,141,6,6,0,90001,14660777,0
,808,49,141,7,7,0,90001,14065303,0
,809,49,141,8,2,0,90001,12814487,0
,810,49,97,9,71,0,90001,14467250,0
,811,49,97,10,70,0,90001,-4020141,0
,812,49,97,11,72,0,90001,-6328224,0
,813,49,12,12,100,0,90001,8680581,0
,814,49,12,13,101,0,90001,0,0
,815,49,143,14,50,0,90001,8680581,0
,816,49,143,15,53,0,90001,5854569,0
,817,49,143,16,51,0,90001,6969711,0
,818,49,143,17,52,0,90001,5788519,0
,819,49,143,18,54,0,90001,5658733,0
,820,49,143,19,55,0,90001,-9272426,0
,821,49,10,20,102,0,90001,0,0
,822,49,12,21,103,0,90001,0,0
,823,49,138,22,40,0,90001,8420754,0
,824,49,646,23,41,8,90205,-5395812,0
,825,50,146,0,0,0,90001,0,0
,826,50,146,1,1,0,90001,0,0
,827,50,146,2,2,0,90001,0,0
,828,50,146,3,3,0,90001,0,0
,829,50,146,4,4,0,90001,0,0
,830,50,146,5,5,0,90001,0,0
,831,50,146,6,6,0,90001,0,0
,832,50,146,7,7,0,90001,0,0
,833,50,146,8,8,0,90001,0,0
,834,50,142,9,9,0,90001,0,0
,835,50,142,10,10,0,90001,0,0
,836,50,142,11,11,0,90001,0,0
,837,50,142,12,12,0,90001,0,0
,838,50,142,13,13,0,90001,0,0
,839,50,142,14,14,0,90001,0,0
,840,50,142,15,15,0,90001,0,0
,841,50,142,16,16,0,90001,0,0
,842,50,142,17,17,0,90001,0,0
Long,843,51,141,0,0,0,90001,0,0
Loose Tail,844,51,141,1,1,0,90001,0,0
Short,845,51,141,2,2,0,90001,0,0
High Tail,846,51,141,3,3,0,90001,0,0
Braided Tails,847,51,141,4,4,0,90001,0,0
