sound_kit_id,reason,attack_roles_found,creature_sound_data_ids,creature_model_data_ids,creature_display_ids,display_gender_values,file_count_in_sound_kit,file_data_ids,filenames
1366,no_world_creature_template_mapping_for_display,attack,148|151,150|2330,1021,2,3,542795|542797|542798,undeadmalenpc1attackb|undeadmalenpc1attackc|undeadmalenpc1attacka
1447,no_creature_model_data_for_creature_sound_data,attack,170|2195,,,,3,554242|554246|554247,lobstrokattacka|lobstrokattackc|lobstrokattackb
1589,no_creature_sound_data_attack_mapping,,,,,,2,539895|539941,dwarfmale_err_invalidattacktarget02|dwarfmale_err_invalidattacktarget01
1644,no_creature_display_info_for_model,attack,173,175,,,3,548557|548559|548564,faeriedragonattackb|faeriedragonattacka|faeriedragonattackc
1661,no_creature_sound_data_attack_mapping,,,,,,2,539835|539861,dwarffemale_err_invalidattacktarget02|dwarffemale_err_invalidattacktarget01
1716,no_creature_sound_data_attack_mapping,,,,,,2,540384|540387,gnomemale_err_invalidattacktarget01|gnomemale_err_invalidattacktarget02
1771,no_creature_sound_data_attack_mapping,,,,,,2,540280|540303,gnomefemale_err_invalidattacktarget01|gnomefemale_err_invalidattacktarget02
1827,no_creature_sound_data_attack_mapping,,,,,,2,543173|543184,trollmale_err_invalidattacktarget02|trollmale_err_invalidattacktarget01
1882,no_creature_sound_data_attack_mapping,,,,,,2,540748|540763,humanmale_err_invalidattacktarget02|humanmale_err_invalidattacktarget01
1937,no_creature_sound_data_attack_mapping,,,,,,2,543149|543152,trollfemale_err_invalidattacktarget02|trollfemale_err_invalidattacktarget01
2006,no_creature_sound_data_attack_mapping,,,,,,2,540546|540547,humanfemale_err_invalidattacktarget01|humanfemale_err_invalidattacktarget02
2062,no_creature_sound_data_attack_mapping,,,,,,2,542614|542662,undeadmale_err_invalidattacktarget02|undeadmale_err_invalidattacktarget01
2125,no_creature_sound_data_attack_mapping,,,,,,2,540973|540980,nightelfmale_err_invalidattacktarget02|nightelfmale_err_invalidattacktarget01
2180,no_creature_sound_data_attack_mapping,,,,,,2,542572|542575,undeadfemale_err_invalidattacktarget02|undeadfemale_err_invalidattacktarget01
2236,no_creature_sound_data_attack_mapping,,,,,,2,540888|540903,nightelffemale_err_invalidattacktarget01|nightelffemale_err_invalidattacktarget02
2291,no_creature_sound_data_attack_mapping,,,,,,2,541301|541304,orcmale_err_invalidattacktarget02|orcmale_err_invalidattacktarget01
2348,no_creature_sound_data_attack_mapping,,,,,,2,541165|541178,orcfemale_err_invalidattacktarget02|orcfemale_err_invalidattacktarget01
2410,no_creature_sound_data_attack_mapping,,,,,,2,542865|542884,taurenfemale_err_invalidattacktarget02|taurenfemale_err_invalidattacktarget01
2411,no_creature_sound_data_attack_mapping,,,,,,2,542904|542947,taurenmale_err_invalidattacktarget02|taurenmale_err_invalidattacktarget01
2506,no_creature_model_data_for_creature_sound_data,attack,182,,,,3,552338|552341|552344,hyenaattacka|hyenaattackb|hyenaattackc
2672,no_creature_sound_data_attack_mapping,,,,,,2,540686|540713,humanmaleattackmytarget01|humanmaleattackmytarget02
2684,no_creature_sound_data_attack_mapping,,,,,,2,540619|540627,humanfemaleattackmytarget02|humanfemaleattackmytarget01
2696,no_creature_sound_data_attack_mapping,,,,,,3,541384|541407|541417,orcmaleattackmytarget03|orcmaleattackmytarget02|orcmaleattackmytarget01
2708,no_creature_sound_data_attack_mapping,,,,,,3,541315|541334|541369,orcfemaleattackmytarget01|orcfemaleattackmytarget03|orcfemaleattackmytarget02
2720,no_creature_sound_data_attack_mapping,,,,,,3,540036|540046|540068,dwarfmaleattackmytarget01|dwarfmaleattackmytarget03|dwarfmaleattackmytarget02
2732,no_creature_sound_data_attack_mapping,,,,,,2,539976|539978,dwarffemaleattackmytarget02|dwarffemaleattackmytarget01
2744,no_creature_sound_data_attack_mapping,,,,,,2,541088|541119,nightelfmaleattackmytarget01|nightelfmaleattackmytarget02
2756,no_creature_sound_data_attack_mapping,,,,,,3,541042|541053|541069,nightelffemaleattackmytarget01|nightelffemaleattackmytarget02|nightelffemaleattackmytarget03
2768,no_creature_sound_data_attack_mapping,,,,,,2,542756|542774,undeadmaleattackmytarget01|undeadmaleattackmytarget02
2780,no_creature_sound_data_attack_mapping,,,,,,2,542683|542702,undeadfemaleattackmytarget01|undeadfemaleattackmytarget02
2792,no_creature_sound_data_attack_mapping,,,,,,2,543023|543073,taurenmaleattackmytarget01|taurenmaleattackmytarget02
2805,no_creature_sound_data_attack_mapping,,,,,,2,542990|543003,taurenfemaleattackmytarget02|taurenfemaleattackmytarget01
2830,no_creature_sound_data_attack_mapping,,,,,,2,540473|540487,gnomemaleattackmytarget01|gnomemaleattackmytarget02
2842,no_creature_sound_data_attack_mapping,,,,,,2,540413|540435,gnomefemaleattackmytarget02|gnomefemaleattackmytarget01
2854,no_creature_sound_data_attack_mapping,,,,,,2,543299|543316,trollmaleattackmytarget01|trollmaleattackmytarget02
2866,no_creature_sound_data_attack_mapping,,,,,,2,543244|543281,trollfemaleattackmytarget02|trollfemaleattackmytarget01
2874,no_creature_sound_data_attack_mapping,,,,,,3,562736|562737|562739,serpenttotemattacka|serpenttotemattackc|serpenttotemattackb
2960,no_creature_sound_data_attack_mapping,,,,,,4,542405|542406|542415|542416,orcfemalemainattackd|orcfemalemainattackb|orcfemalemainattackc|orcfemalemainattacka
2988,no_creature_sound_data_attack_mapping,,,,,,1,567919,unarmedattacksmalla
3188,no_creature_sound_data_attack_mapping,,,,,,1,560228,sharkattackvar1a
3189,no_creature_sound_data_attack_mapping,,,,,,1,560219,sharkattackvar2a
3960,no_creature_sound_data_attack_mapping,,,,,,1,544954,mbearattackd
4066,no_creature_sound_data_attack_mapping,,,,,,3,552061|552067|552080,mhorseattackc|mhorseattackb|mhorseattacka
4067,no_creature_sound_data_attack_mapping,,,,,,3,552095|552096|552097,horseundeadattackc|horseundeadattackb|horseundeadattacka
4068,no_creature_sound_data_attack_mapping,,,,,,3,558863|558866|558867,ramattackc|ramattacka|ramattackb
4069,no_creature_sound_data_attack_mapping,,,,,,6,564209|564210|564212|564213|564216|564230,mwolfattack4|mwolfattack1|mwolfattack6|mwolfattack2|mwolfattack3|mwolfattack5
4071,no_creature_sound_data_attack_mapping,,,,,,3,558870|558872|558874,mraptorattacka|mraptorattackc|mraptorattackb
4072,no_creature_sound_data_attack_mapping,,,,,,4,562385|562386|562393|562394,mtigerattackb|mtigerattackd|mtigerattackc|mtigerattacka
4121,no_creature_sound_data_attack_mapping,,,,,,4,562385|562386|562393|562394,mtigerattackb|mtigerattackd|mtigerattackc|mtigerattacka
4314,no_creature_sound_data_attack_mapping,,,,,,4,550499|550502|550505|550510,gnomespidertankattackd|gnomespidertankattackb|gnomespidertankattacka|gnomespidertankattackc
5735,no_creature_sound_data_attack_mapping,,,,,,4,544951|544953|544954|544955,mbearattackb|mbearattacka|mbearattackd|mbearattackcriticala
6198,no_creature_sound_data_attack_mapping,,,,,,1,551329,gruntunitattack1
6201,no_creature_sound_data_attack_mapping,,,,,,1,549239,foresttrollyesattack1
6202,no_creature_sound_data_attack_mapping,,,,,,1,549240,foresttrollyesattack2
6203,no_creature_sound_data_attack_mapping,,,,,,1,549238,foresttrollyesattack4
6205,no_creature_sound_data_attack_mapping,,,,,,1,551331,gruntyesattack1
6206,no_creature_sound_data_attack_mapping,,,,,,1,551330,gruntyesattack2
6207,no_creature_sound_data_attack_mapping,,,,,,1,551332,gruntyesattack3
6214,no_creature_sound_data_attack_mapping,,,,,,1,547778,druidoftheclawyesattack2
6215,no_creature_sound_data_attack_mapping,,,,,,1,547781,druidoftheclawyesattack3
6227,no_creature_sound_data_attack_mapping,,,,,,1,564190,witchdoctoryesattack1
6228,no_creature_sound_data_attack_mapping,,,,,,1,564194,witchdoctoryesattack2
6229,no_creature_sound_data_attack_mapping,,,,,,1,564188,witchdoctoryesattack3
6231,no_creature_sound_data_attack_mapping,,,,,,1,552230,huntressyesattack3
6237,no_creature_sound_data_attack_mapping,,,,,,1,551770,heromoonpriestessyesattack1
6238,no_creature_sound_data_attack_mapping,,,,,,1,551766,heromoonpriestessyesattack2
6239,no_creature_sound_data_attack_mapping,,,,,,1,551767,heromoonpriestessyesattack3
6242,no_creature_sound_data_attack_mapping,,,,,,1,558126,peasantyesattack3
6243,no_creature_sound_data_attack_mapping,,,,,,1,549226,footmanyesattack1
6244,no_creature_sound_data_attack_mapping,,,,,,1,549227,footmanyesattack2
6245,no_creature_sound_data_attack_mapping,,,,,,1,549225,footmanyesattack3
6250,no_creature_sound_data_attack_mapping,,,,,,1,559206,riflemanyesattack1
6258,no_creature_sound_data_attack_mapping,,,,,,1,555836,mortarteamyesattack4
6266,no_creature_sound_data_attack_mapping,,,,,,1,567284,mortarteamattack1
6276,no_creature_sound_data_attack_mapping,,,,,,1,543364,abominationyesattack2
6279,no_creature_sound_data_attack_mapping,,,,,,1,561482,taurenyesattack1
6280,no_creature_sound_data_attack_mapping,,,,,,1,561480,taurenyesattack3
6282,no_creature_sound_data_attack_mapping,,,,,,1,558123,peasantyesattack1
6283,no_creature_sound_data_attack_mapping,,,,,,1,558117,peasantyesattack2
6295,no_creature_sound_data_attack_mapping,,,,,,1,558145,peonyesattack1
6296,no_creature_sound_data_attack_mapping,,,,,,1,558138,peonyesattack3
6298,no_creature_sound_data_attack_mapping,,,,,,1,551772,heromountainkingyesattack4
6306,no_creature_sound_data_attack_mapping,,,,,,1,559202,riflemanyesattack2
6307,no_creature_sound_data_attack_mapping,,,,,,1,559195,riflemanyesattack3
6308,no_creature_sound_data_attack_mapping,,,,,,1,559205,riflemanyesattack4
6314,no_creature_sound_data_attack_mapping,,,,,,1,544135,archeryesattack1
6315,no_creature_sound_data_attack_mapping,,,,,,1,544130,archeryesattack2
6316,no_creature_sound_data_attack_mapping,,,,,,1,544134,archeryesattack3
6317,no_creature_sound_data_attack_mapping,,,,,,1,544128,archeryesattack4
6326,no_creature_sound_data_attack_mapping,,,,,,1,564200,wolfrideryesattack1
6327,no_creature_sound_data_attack_mapping,,,,,,1,564204,wolfrideryesattack2
6336,no_creature_sound_data_attack_mapping,,,,,,1,559624,satyreyesattack1
6337,no_creature_sound_data_attack_mapping,,,,,,1,559627,satyreyesattack2
6338,no_creature_sound_data_attack_mapping,,,,,,1,559626,satyreyesattack3
6427,no_creature_model_data_for_creature_sound_data,attack,1048,,,,3,558524|558528|558531,pterrodaxattackc|pterrodaxattackb|pterrodaxattacka
6435,no_creature_sound_data_attack_mapping,,,,,,1,543364,abominationyesattack2
6436,no_creature_sound_data_attack_mapping,,,,,,1,543364,abominationyesattack2
6474,no_creature_sound_data_attack_mapping,,,,,,1,559206,riflemanyesattack1
6476,no_creature_sound_data_attack_mapping,,,,,,1,555836,mortarteamyesattack4
6481,no_creature_sound_data_attack_mapping,,,,,,1,543364,abominationyesattack2
6482,no_creature_sound_data_attack_mapping,,,,,,3,564188|564190|564194,witchdoctoryesattack3|witchdoctoryesattack1|witchdoctoryesattack2
6486,no_creature_sound_data_attack_mapping,,,,,,1,543364,abominationyesattack2
6495,no_creature_sound_data_attack_mapping,,,,,,2,564200|564204,wolfrideryesattack1|wolfrideryesattack2
6514,no_creature_sound_data_attack_mapping,,,,,,1,559627,satyreyesattack2
6529,no_creature_sound_data_attack_mapping,,,,,,3,553323|553324|553331,kodobeastattackb|kodobeastattacka|kodobeastattackc
6531,no_creature_sound_data_attack_mapping,,,,,,3,553323|553324|553331,kodobeastattackb|kodobeastattacka|kodobeastattackc
6574,no_creature_sound_data_attack_mapping,,,,,,1,563926,walrusattacka
6701,no_creature_sound_data_attack_mapping,,,,,,2,547778|547781,druidoftheclawyesattack2|druidoftheclawyesattack3
7056,no_creature_model_data_for_creature_sound_data,attack,1448,,,,4,544535|544536|544538|544544,avatarofhakarattackb|avatarofhakarattackc|avatarofhakarattacka|avatarofhakarattackd
7119,no_creature_sound_data_attack_mapping,,,,,,3,549238|549239|549240,foresttrollyesattack4|foresttrollyesattack1|foresttrollyesattack2
7120,no_creature_sound_data_attack_mapping,,,,,,3,551330|551331|551332,gruntyesattack2|gruntyesattack1|gruntyesattack3
7339,no_creature_sound_data_attack_mapping,,,,,,3,544128|544130|544134,archeryesattack4|archeryesattack2|archeryesattack3
7454,no_creature_sound_data_attack_mapping,,,,,,2,551767|551770,heromoonpriestessyesattack3|heromoonpriestessyesattack1
7514,no_creature_sound_data_attack_mapping,,,,,,1,558145,peonyesattack1
7814,no_creature_sound_data_attack_mapping,,,,,,3,553323|553324|553331,kodobeastattackb|kodobeastattacka|kodobeastattackc
8036,no_creature_sound_data_attack_mapping,,,,,,1,548406,executusspecialattack01
8046,no_creature_sound_data_attack_mapping,,,,,,1,558782,ragnarosspecialattack01
8047,no_creature_sound_data_attack_mapping,,,,,,1,558811,ragnarosspecialattack02
8048,no_creature_sound_data_attack_mapping,,,,,,1,558804,ragnarosspecialattack03
8354,no_creature_sound_data_attack_mapping,,,,,,3,558863|558866|558867,ramattackc|ramattacka|ramattackb
8355,no_creature_sound_data_attack_mapping,,,,,,3,562369|562370|562374,thunderlizardattackc|thunderlizardattacka|thunderlizardattackb
8356,no_creature_sound_data_attack_mapping,,,,,,4,562385|562386|562393|562394,mtigerattackb|mtigerattackd|mtigerattackc|mtigerattacka
8373,no_creature_sound_data_attack_mapping,,,,,,2,562412|562418,tigonmaleattackc|tigonmaleattackd
8603,no_creature_sound_data_attack_mapping,,,,,,1,558825,rajaxxattackandmake
8637,no_creature_sound_data_attack_mapping,,,,,,1,558825,rajaxxattackandmake
8669,no_creature_sound_data_attack_mapping,,,,,,3,560314|560316|560323,silithidwaspbossattacka|silithidwaspbossattackb|silithidwaspbossattackc
8671,no_creature_sound_data_attack_mapping,,,,,,1,569398,cthuneyeattackloop
8688,no_creature_sound_data_attack_mapping,,,,,,4,553139|553162|553165|553166,kelthuzadattacka|kelthuzadattackb|kelthuzadattackd|kelthuzadattackc
8714,no_creature_model_data_for_creature_sound_data,attack,2131|5967,,,,4,549868|549869|549870|549872,giantspiderattackd|giantspiderattackc|giantspiderattacka|giantspiderattackb
9161,no_creature_sound_data_attack_mapping,,,,,,2,548309|548312,ethrealattackb|ethrealattacka
9164,no_creature_model_data_for_creature_sound_data,attack|attack_critical,2211,,,,4,544503|544504|544505|544508,attumenattack03|attumenattack02|attumenattack01|attumenattack04
9177,no_creature_model_data_for_creature_sound_data,attack|attack_critical,2212,,,,3,546514|546517|546523,ozcroneattack01|ozcroneattack03|ozcroneattack02
9189,no_creature_model_data_for_creature_sound_data,attack|attack_critical,2213,,,,3,547367|547369|547374,ozdorotheeattack01|ozdorotheeattack03|ozdorotheeattack02
9197,no_creature_model_data_for_creature_sound_data,attack|attack_critical,2214,,,,3,552941|552945|552949,rajjulianneattack01|rajjulianneattack02|rajjulianneattack03
9205,no_creature_model_data_for_creature_sound_data,attack|attack_critical,2215|3393,,,,4,554620|554623|554624|554625,maidenattack02|maidenattack04|maidenattack01|maidenattack03
9212,no_creature_model_data_for_creature_sound_data,attack|attack_critical,2216,,,,4,555821|555822|555824|555826,moroesattack01|moroesattack02|moroesattack03|moroesattack04
9219,no_creature_model_data_for_creature_sound_data,attack|attack_critical,2217,,,,4,558325|558328|558343|558344,princeattack04|princeattack03|princeattack02|princeattack01
9228,no_creature_model_data_for_creature_sound_data,attack|attack_critical,2218,,,,3,559316|559323|559327,ozroarattack01|ozroarattack03|ozroarattack02
9234,no_creature_model_data_for_creature_sound_data,attack|attack_critical,2219,,,,4,559424|559426|559427|559429,rajromuloattack02|rajromuloattack01|rajromuloattack03|rajromuloattack04
9243,no_creature_model_data_for_creature_sound_data,attack|attack_critical,2220,,,,4,560054|560061|560062|560067,aranattack04|aranattack01|aranattack02|aranattack03
9255,no_creature_model_data_for_creature_sound_data,attack|attack_critical,2221,,,,4,561127|561129|561133|561138,ozstrawmanattack01|ozstrawmanattack02|ozstrawmanattack03|ozstrawmanattack04
9261,no_creature_model_data_for_creature_sound_data,attack|attack_critical,2222,,,,4,561691|561692|561696|561701,terestianattack02|terestianattack03|terestianattack04|terestianattack01
9269,no_creature_model_data_for_creature_sound_data,attack|attack_critical,2223,,,,4,562422|562424|562427|562429,oztinheadattack02|oztinheadattack01|oztinheadattack04|oztinheadattack03
9274,no_creature_model_data_for_creature_sound_data,attack|attack_critical,2224,,,,4,552036|552038|552043|552044,hoodwolfattacks02|hoodwolfattacks04|hoodwolfattacks01|hoodwolfattacks03
9363,no_creature_sound_data_attack_mapping,,,,,,1,543364,abominationyesattack2
9464,no_creature_sound_data_attack_mapping,,,,,,2,539490|539747,draeneimale_err_invalidattacktarget01|draeneimale_err_invalidattacktarget02
9483,no_creature_sound_data_attack_mapping,,,,,,2,539556|539710,draeneifemale_err_invalidattacktarget02|draeneifemale_err_invalidattacktarget01
9567,no_creature_sound_data_attack_mapping,,,,,,2,539342|539360,bloodelfmale_err_invalidattacktarget02|bloodelfmale_err_invalidattacktarget01
9568,no_creature_sound_data_attack_mapping,,,,,,2,539188|539345,bloodelffemale_err_invalidattacktarget02|bloodelffemale_err_invalidattacktarget01
9627,no_creature_sound_data_attack_mapping,,,,,,3,539303|539312|539388,bloodelffemaleattackmytarget03|bloodelffemaleattackmytarget01|bloodelffemaleattackmytarget02
9653,no_creature_sound_data_attack_mapping,,,,,,3,539234|539236|539294,bloodelfmaleattackmytarget01|bloodelfmaleattackmytarget03|bloodelfmaleattackmytarget02
9678,no_creature_sound_data_attack_mapping,,,,,,3,539527|539634|539647,draeneifemaleattackmytarget03|draeneifemaleattackmytarget02|draeneifemaleattackmytarget01
9703,no_creature_sound_data_attack_mapping,,,,,,3,539586|539641|539645,draeneimaleattackmytarget03|draeneimaleattackmytarget01|draeneimaleattackmytarget02
9934,no_creature_sound_data_attack_mapping,,,,,,5,601766|601772|601778|601784|601787,netherdragonattackd|netherdragonattackb|netherdragonattackc|netherdragonattacke|netherdragonattacka
10081,no_creature_model_data_for_creature_sound_data,attack,2204|3391,,,,5,600437|600440|600443|600449|600455,gronnattacka|gronnattackb|gronnattackd|gronnattackc|gronnattacke
10095,no_creature_sound_data_attack_mapping,,,,,,4,547520|547521|547522|547523,dragonhawkattackb|dragonhawkattackd|dragonhawkattackc|dragonhawkattacka
10108,no_creature_sound_data_attack_mapping,,,,,,5,544961|544966|544967|544972|544973,beholderattackb|beholderattackc|beholderattacka|beholderattacke|beholderattackd
10679,no_creature_sound_data_attack_mapping,,,,,,5,594648|594651|594657|594663|594666,arcanetitanattackb|arcanetitanattacke|arcanetitanattacka|arcanetitanattackd|arcanetitanattackc
10722,no_creature_sound_data_attack_mapping,,,,,,3,561392|561395|561398,tallstriderattacka|tallstriderattackc|tallstriderattackb
10723,no_creature_sound_data_attack_mapping,,,,,,4,548031|548033|548037|548040,elekk_attack04|elekk_attack01|elekk_attack03|elekk_attack02
10827,no_creature_sound_data_attack_mapping,,,,,,3,564210|564213|564216,mwolfattack1|mwolfattack2|mwolfattack3
10828,no_creature_sound_data_attack_mapping,,,,,,3,561407|561414|561417,mtarantulaattackc|mtarantulaattackb|mtarantulaattacka
10830,no_creature_sound_data_attack_mapping,,,,,,3,547634|547641|547642,mdragonwhelpattackb|mdragonwhelpattacka|mdragonwhelpattackc
10850,no_creature_sound_data_attack_mapping,,,,,,3,557654|557659|557663,mogreattack3|mogreattack1|mogreattack2
10862,no_creature_sound_data_attack_mapping,,,,,,3,550821|550826|550827,goblinshredderattackc|goblinshredderattackb|goblinshredderattacka
10878,no_creature_model_data_for_creature_sound_data,attack,2356,,,,3,548742|548743|548745,felbeastattacka|felbeastattackb|felbeastattackc
10886,no_creature_sound_data_attack_mapping,,,,,,3,551342|551349|551352,gryphonattackc|gryphonattackb|gryphonattacka
10887,no_creature_sound_data_attack_mapping,,,,,,3,564750|564751|564755,mwyvernattackb|mwyvernattackc|mwyvernattacka
10888,no_creature_sound_data_attack_mapping,,,,,,3,558166|558171|558172,phoenixattacke|phoenixattacka|phoenixattackc
10889,no_creature_sound_data_attack_mapping,,,,,,3,551342|551349|551352,gryphonattackc|gryphonattackb|gryphonattacka
10890,no_creature_sound_data_attack_mapping,,,,,,4,551948|551949|551951|551952,mhippogryphattacka|mhippogryphattackd|mhippogryphattackc|mhippogryphattackb
10891,no_creature_sound_data_attack_mapping,,,,,,3,564750|564751|564755,mwyvernattackb|mwyvernattackc|mwyvernattacka
10892,no_creature_sound_data_attack_mapping,,,,,,3,548726|548727|548730,felbatattackb|felbatattacka|felbatattackc
10894,no_creature_sound_data_attack_mapping,,,,,,4,548096|548103|548104|548107,entattackd|entattacka|entattackc|entattackb
10902,no_creature_sound_data_attack_mapping,,,,,,1,550821,goblinshredderattackc
10969,no_creature_sound_data_attack_mapping,,,,,,3,547634|547641|547642,mdragonwhelpattackb|mdragonwhelpattacka|mdragonwhelpattackc
10983,no_creature_model_data_for_creature_sound_data,attack,2404|3402,,,,5,598898|598904|598910|598913|598928,cav_anath_attack02|cav_anath_attack04|cav_anath_attack03|cav_anath_attack05|cav_anath_attack01
11003,no_creature_model_data_for_creature_sound_data,attack,2405|3403,,,,6,598964|598967|598970|598973|598979|598994,cav_azga_attack01|cav_azga_attack05|cav_azga_attack02|cav_azga_attack04|cav_azga_attack06|cav_azga_attack03
11007,no_creature_sound_data_attack_mapping,,,,,,1,552729,cav_jaina_attacked01
11012,no_creature_model_data_for_creature_sound_data,attack,2406,,,,9,552693|552700|552718|552735|552736|552774|552788|552790|552806,jaina_attackheavy03|jaina_attackmedium01|jaina_attackheavy02|jaina_attackmedium02|jaina_attacklight03|jaina_attacklight01|jaina_attacklight02|jaina_attackheavy01|jaina_attackmedium03
11019,no_creature_model_data_for_creature_sound_data,attack,2438|3411,,,,3,601169|601181|601190,cav_kaz_attack01|cav_kaz_attack03|cav_kaz_attack02
11027,no_creature_model_data_for_creature_sound_data,attack,2439,,,,4,602261|602282|602285|602291,cav_rage_attack04|cav_rage_attack03|cav_rage_attack02|cav_rage_attack01
11031,no_creature_sound_data_attack_mapping,,,,,,1,562283,cav_thrall_attacked01
11049,no_creature_sound_data_attack_mapping,,,,,,1,552800,cav_jaina_attacked02
11061,no_creature_sound_data_attack_mapping,,,,,,1,562281,cav_thrall_attacked02
11065,no_creature_sound_data_attack_mapping,,,,,,1,562965,cav_tyrande_attacked01
11066,no_creature_sound_data_attack_mapping,,,,,,1,562970,cav_tyrande_attacked02
11080,no_creature_model_data_for_creature_sound_data,attack,2407,,,,5,599159|599162|599174|599177|599186,tempest_saran_attack05|tempest_saran_attack04|tempest_saran_attack01|tempest_saran_attack02|tempest_saran_attack03
11098,no_creature_model_data_for_creature_sound_data,attack,2408,,,,4,599204|599207|599219|599225,tempest_dalliah_attack04|tempest_dalliah_attack01|tempest_dalliah_attack03|tempest_dalliah_attack02
11107,no_creature_model_data_for_creature_sound_data,attack,2411|3405,,,,3,600092|600095|600098,tempest_gyro_attack01|tempest_gyro_attack03|tempest_gyro_attack02
11115,no_creature_model_data_for_creature_sound_data,attack,2412|3406,,,,3,600107|600125|600128,tempest_ironhand_attack01|tempest_ironhand_attack02|tempest_ironhand_attack03
11119,no_creature_model_data_for_creature_sound_data,attack,2414,,,,7,600401|600404|600413|600419|600422|600425|600428,tempest_grandastro_attack03|tempest_grandastro_attack06|tempest_grandastro_attack04|tempest_grandastro_attack01|tempest_grandastro_attack02|tempest_grandastro_attack05|tempest_grandastro_attack07
11132,no_creature_model_data_for_creature_sound_data,attack,2416,,,,6,600596|600605|600608|600614|600620|600623,tempest_harbinger_attack06|tempest_harbinger_attack03|tempest_harbinger_attack01|tempest_harbinger_attack02|tempest_harbinger_attack05|tempest_harbinger_attack04
11141,no_creature_sound_data_attack_mapping,,,,,,7,600758|600761|600764|600767|600773|600779|600794,tempest_highastro_attack06|tempest_highastro_attack04|tempest_highastro_attack07|tempest_highastro_attack01|tempest_highastro_attack03|tempest_highastro_attack02|tempest_highastro_attack05
11150,no_creature_model_data_for_creature_sound_data,attack,2418,,,,6,600806|600809|600827|600830|600833|600836,tempest_freywinn_attack03|tempest_freywinn_attack04|tempest_freywinn_attack01|tempest_freywinn_attack06|tempest_freywinn_attack02|tempest_freywinn_attack05
11154,no_creature_model_data_for_creature_sound_data,attack,2441,,,,4,601400|601415|601421|601424,tempest_lordsang_attack04|tempest_lordsang_attack02|tempest_lordsang_attack03|tempest_lordsang_attack01
