sound_kit_id,attack_role,creature_name,display_gender_value,display_gender_label,is_female,creature_entry_count,creature_entries,creature_display_ids,creature_model_data_ids,file_count_in_sound_kit,first_attack_filename
22445,attack,"""Sweet"" Jane Harlow",1,female,yes,1,75132,36826,3142,10,worgenfemale_attack_01
2937,attack,"""Target Dummy""",1,female,yes,2,159598|159599,93635|93636,7599,10,humanfeamlemainattackb
3301,attack,"""Tuskbreaker"" Yana",1,female,yes,1,133206,82777,10395,9,trollfemalmainattackb
22445,attack,"""Yen"" Malone",1,female,yes,2,255230|255319,138699,3142,10,worgenfemale_attack_01
18496,attack,"""Zappy"" Zikki",1,female,yes,1,248247,131442,832,10,goblinfemale_attack02
71478,attack,(PH) Dreadweave Spinner,1,female,yes,1,25365,18043,2243,6,mon_bloodfang_widow_spider_attack_01
71479,attack_critical,(PH) Dreadweave Spinner,1,female,yes,1,25365,18043,2243,3,mon_bloodfang_widow_spider_attackcrit_01
2933,attack,(PH) High Elf Challenger 002,1,female,yes,1,91126,62257,7300,4,nightelffemalemainattackc
8992,attack,(PH) Shattered Sun Badge Vendor,1,female,yes,1,25538,22831,8103,5,bloodelffemalepcattacka
8992,attack,(PH) Shattered Sun Raid Loot,1,female,yes,1,25540,22831,8103,5,bloodelffemalepcattacka
8992,attack,(PH) Shattered Sun Raid Loot Conversion,1,female,yes,1,25539,22831,8103,5,bloodelffemalepcattacka
13579,attack,(PH) Storm Maiden,1,female,yes,1,29320,25797,2854,9,vrykulfrostfemaleattack2
13579,attack,(PH) Storm Maiden - Caster,1,female,yes,1,29322,26123,2853,9,vrykulfrostfemaleattack2
8992,attack,(Wrathgate Alliance) Fordragon Battle-Mage,1,female,yes,1,31298,24552|24554,8103,5,bloodelffemalepcattacka
2937,attack,(Wrathgate Alliance) Fordragon Footman,1,female,yes,1,31296,24542,7599,10,humanfeamlemainattackb
2933,attack,(Wrathgate Alliance) Fordragon Sentinel,1,female,yes,1,31297,24363|24546|24547|24548,7300,4,nightelffemalemainattackc
3301,attack,(Wrathgate Horde) Darkspear,1,female,yes,1,31295,24093,7793,9,trollfemalmainattackb
1361,attack,(Wrathgate Monster) Forsaken Blightspreader (Gas Mask),1,female,yes,1,28348,25323|25324,7578,10,undeadfemalefinalattacka
2937,attack,[609] Ebon Hold Duel Credit,1,female,yes,1,29025,25505|25506,7599,10,humanfeamlemainattackb
2937,attack,[Chapter II] Scarlet Crusader Proxy,1,female,yes,1,28984,25505|25506,7599,10,humanfeamlemainattackb
2937,attack,[Chapter II] Scarlet Crusader Test Dummy Guy,1,female,yes,1,28957,25505|25506,7599,10,humanfeamlemainattackb
2937,attack,[Chapter IV] Light of Dawn Credit,1,female,yes,1,29245,25352,7599,10,humanfeamlemainattackb
8988,attack,[Delete] Aklana Swifthoof,1,female,yes,1,72615,50728,7692,10,draeneifemalepcattackc
209,attack,[Delete] Warsong Juggernaut,1,female,yes,1,72621,50316,7200,12,vo_pcorcfemale_attack_01
209,attack,[Deprecated for 4.x] Delyka,1,female,yes,1,4318,2413,7200,12,vo_pcorcfemale_attack_01
2925,attack,[Deprecated for 4.x]Archaeologist Hollee,1,female,yes,1,2913,1286,7203,10,dwarffemalemainattackc
2933,attack,[Deprecated for 4.x]Brienna Starglow,1,female,yes,1,6576,5366,7300,4,nightelffemalemainattackc
2937,attack,[Deprecated for 4.x]Daisy,1,female,yes,1,4507,2591,7599,10,humanfeamlemainattackb
3560,attack,[Deprecated for 4.x]Galak Stormer,1,female,yes,1,4097,9416,492,4,centaurfemaleattacka
3560,attack,[Deprecated for 4.x]Galak Windchaser,1,female,yes,1,4096,9412,492,4,centaurfemaleattacka
225,attack,[Deprecated for 4.x]Grimtotem Geomancer,1,female,yes,1,10760,10227|10228,7576,10,taurenfemalefinalattackb
225,attack,[Deprecated for 4.x]Grimtotem Reaver,1,female,yes,1,10761,10233|10234,7576,10,taurenfemalefinalattackb
225,attack,[Deprecated for 4.x]Grimtotem Stomper,1,female,yes,1,10759,10238|10239,7576,10,taurenfemalefinalattackb
3269,attack,[Deprecated for 4.x]Jinky Twizzlefixxit,1,female,yes,1,6730,5425,7130,10,gnomefemalemainattacka
225,attack,[Deprecated for 4.x]Lakota Windsong,1,female,yes,1,10646,10092,7576,10,taurenfemalefinalattackb
225,attack,[Deprecated for 4.x]Lakota Windsong (1),1,female,yes,1,30789,10092,7576,10,taurenfemalefinalattackb
8992,attack,[Deprecated for 4.x]Magistrix Elosai,1,female,yes,1,17093,16845,8103,5,bloodelffemalepcattacka
225,attack,[Deprecated for 4.x]Nyse,1,female,yes,1,4317,2412,7576,10,taurenfemalefinalattackb
2933,attack,[Deprecated for 4.x]Rendow,1,female,yes,1,1695,13190,7300,4,nightelffemalemainattackc
2933,attack,[Deprecated for 4.x]Sentinel Elissa Starbreeze,1,female,yes,1,3657,2529,7300,4,nightelffemalemainattackc
225,attack,[Deprecated for 4.x]Thalia Amberhide,1,female,yes,1,10645,10093,7576,10,taurenfemalefinalattackb
2933,attack,[Deprecated for 4.x]Thyssiana,1,female,yes,1,4319,2415,7300,4,nightelffemalemainattackc
9895,attack,[Deprecated for 4.x]Wretched Magistrix Elosai,1,female,yes,1,17162,16869,2212,5,crackelfmaleattackd
209,attack,[DISABLED] Adele Lyon,1,female,yes,2,78111|78112,54153|54300,7200,12,vo_pcorcfemale_attack_01
2937,attack,[DISABLED] Adele Lyon,1,female,yes,2,78111|78112,54285,7599,10,humanfeamlemainattackb
18496,attack,[DND] Dalaran Sewer Arena - Controller,1,female,yes,1,32339,24030,832,10,goblinfemale_attack02
18496,attack,[DND] Dalaran Sewer Arena - Controller - Death,1,female,yes,1,32328,24030,832,10,goblinfemale_attack02
2937,attack,[DND] Darkmoon Shooting Gallery Test,1,female,yes,1,55027,27052,7599,10,humanfeamlemainattackb
3269,attack,[dnd] Fizzcrank Paratrooper Bunny,1,female,yes,1,26732,23220,7130,10,gnomefemalemainattacka
2937,attack,[DND] Quest Credit,1,female,yes,2,205949|206268,106281,7599,10,humanfeamlemainattackb
2937,attack,[DND] Valgarde Peon,1,female,yes,1,36154,30049|30050,7599,10,humanfeamlemainattackb
643,attack,[DND] Zen'tabra Cat Form,1,female,yes,1,40265,31765,82,4,mtigerattackb
643,attack,[DND] Zen'tabra Travel Form,1,female,yes,1,40354,25274,1331,4,mtigerattackb
8992,attack,[DND]Bloodmaul Chatter Credit,1,female,yes,1,22383,16046,8103,5,bloodelffemalepcattacka
8992,attack,[DND]Green Spot Grog Keg Credit,1,female,yes,1,22356,16046,8103,5,bloodelffemalepcattacka
8992,attack,[DND]Ogre Pike Planted Credit,1,female,yes,1,22434,16046,8103,5,bloodelffemalepcattacka
8992,attack,[DND]Prophecy 1 Quest Credit,1,female,yes,1,22798,16046,8103,5,bloodelffemalepcattacka
8992,attack,[DND]Prophecy 2 Quest Credit,1,female,yes,1,22799,16046,8103,5,bloodelffemalepcattacka
8992,attack,[DND]Prophecy 3 Quest Credit,1,female,yes,1,22800,16046,8103,5,bloodelffemalepcattacka
8992,attack,[DND]Prophecy 4 Quest Credit,1,female,yes,1,22801,16046,8103,5,bloodelffemalepcattacka
8992,attack,[DND]Rexxar's Wyvern Freed Credit,1,female,yes,1,22435,16046,8103,5,bloodelffemalepcattacka
8992,attack,[DND]Sablemane's Trap Target,1,female,yes,1,22447,16046,8103,5,bloodelffemalepcattacka
336489,attack,[DNT],1,female,yes,3,254136|254143|255100,124845|124846|124847|130712|130713|130714|130773|130775|130779|130780|130806|130807|130821|130822|138557,15970,13,amanitrollfemale_attack_7686207
367,attack,[DNT] Agos the Silent,1,female,yes,1,219026,110868,14023,3,mdragonspawnattack2
368,attack_critical,[DNT] Agos the Silent,1,female,yes,1,219026,110868,14023,1,mdragonspawnattackcritical1
3301,attack,[DNT] Air Three,1,female,yes,1,199920,102947,7793,9,trollfemalmainattackb
2937,attack,[DNT] Arathi Corpse,1,female,yes,2,215395|215403,118181,7599,10,humanfeamlemainattackb
8992,attack,[DNT] Brawler,1,female,yes,1,237517,18433,8103,5,bloodelffemalepcattacka
2933,attack,[DNT] Druid Corpse,1,female,yes,1,211157,112460|112461|112462,7300,4,nightelffemalemainattackc
209,attack,[DNT] Earth Three,1,female,yes,1,199700,108257,7200,12,vo_pcorcfemale_attack_01
8992,attack,[DNT] Farstrider Corpse,1,female,yes,1,245350,138089|138090|138091,8103,5,bloodelffemalepcattacka
155180,attack,[DNT] GY's test creature 3,1,female,yes,1,172927,98157,11689,10,mon_greeter_mnemis_attack_01_155180
155181,attack_critical,[DNT] GY's test creature 3,1,female,yes,1,172927,98157,11689,5,mon_greeter_mnemis_attackcritical_01_155181
2937,attack,[DNT] Housina Plott,1,female,yes,1,220609,1287,7599,10,humanfeamlemainattackb
2925,attack,"[DNT] Hovering, Ribbon, Medium",1,female,yes,1,257454,1404,7203,10,dwarffemalemainattackc
2925,attack,"[DNT] Hovering, Wreath, Medium",1,female,yes,1,258085,1404,7203,10,dwarffemalemainattackc
8992,attack,[DNT] Kill Credit,1,female,yes,2,241823|244062,100600|126891,8103,5,bloodelffemalepcattacka
43950,attack,[DNT] Kill Credit - Arena Challenger,1,female,yes,1,166230,96196|96211,12245,10,mon_orcskeleton_attack01
43951,attack_critical,[DNT] Kill Credit - Arena Challenger,1,female,yes,1,166230,96196|96211,12245,5,mon_orcskeleton_attackcrit01
166298,attack,[DNT] Kill Credit - Arena Challenger,1,female,yes,1,166230,95957,12152,7,mon_maldraxxusgladiator_attack_06_166298
166299,attack_critical,[DNT] Kill Credit - Arena Challenger,1,female,yes,1,166230,95957,12152,3,mon_maldraxxusgladiator_attackcritical_02_166299
173177,attack,[DNT] Kill Credit -Kyrian Steward,1,female,yes,1,174348,96576,11643,10,mon_dutiful_assistant_attack_01_173177
173178,attack_critical,[DNT] Kill Credit -Kyrian Steward,1,female,yes,1,174348,96576,11643,5,mon_dutiful_assistant_attackcritical_01_173178
2925,attack,[DNT] Maw VFX Dummy,1,female,yes,1,176392,96084,7203,10,dwarffemalemainattackc
2937,attack,[DNT] MJH Test Creature,1,female,yes,1,156790,68746,7599,10,humanfeamlemainattackb
18496,attack,[DNT] Photographer,1,female,yes,1,193584,81306,832,10,goblinfemale_attack02
2933,attack,[DNT] Primalist Cloudripper,1,female,yes,1,203717,102868|102869,7300,4,nightelffemalemainattackc
115239,attack,[DNT] Primalist Cloudripper,1,female,yes,1,203717,102872|102873,10787,10,mon_vulpera_female_attack_10
115240,attack_critical,[DNT] Primalist Cloudripper,1,female,yes,1,203717,102872|102873,10787,5,mon_vulpera_female_attackcrit_01
225,attack,[DNT] Primalist Zephyrblade,1,female,yes,1,203723,102942|102943,7576,10,taurenfemalefinalattackb
3301,attack,[DNT] Primalist Zephyrblade,1,female,yes,1,203723,102946|102947,7793,9,trollfemalmainattackb
1977,attack,[DNT] Prospera's Shredder,1,female,yes,1,226370,120790,6725,3,goblinshredderattackc
2937,attack,[DNT] Punchy Caster,1,female,yes,1,213656,84657,7599,10,humanfeamlemainattackb
2937,attack,[DNT] Punchy Guy,1,female,yes,1,213558,4138,7599,10,humanfeamlemainattackb
209,attack,[DNT] Punchy Orc,1,female,yes,1,213589,4035,7200,12,vo_pcorcfemale_attack_01
3301,attack,[DNT] Punchy Troll,1,female,yes,1,213591,3992,7793,9,trollfemalmainattackb
2937,attack,[DNT] Scarlet Memory,1,female,yes,1,205455,40764,7599,10,humanfeamlemainattackb
3269,attack,[DNT] ScenarioStep 002A Credit NPC,1,female,yes,1,210438,106466,7130,10,gnomefemalemainattacka
2937,attack,[DNT] Sheryl Grantower,1,female,yes,1,231184,37075,7599,10,humanfeamlemainattackb
8992,attack,[DNT] storm mats Horde,1,female,yes,1,190422,107135,2209,5,bloodelffemalepcattacka
2937,attack,[DNT] Suspicious Archer,1,female,yes,1,181188,72284,7599,10,humanfeamlemainattackb
2937,attack,[DNT] TEMPLATE DUMMY (JSS),1,female,yes,1,202605,110940,7599,10,humanfeamlemainattackb
2937,attack,[DNT] Test Creature,1,female,yes,1,200672,110953,7599,10,humanfeamlemainattackb
209,attack,[DNT] Test Rat,1,female,yes,1,251586,108860|108861,7200,12,vo_pcorcfemale_attack_01
1361,attack,[DNT] Test Rat,1,female,yes,1,251586,108775|110209|110272,7578,10,undeadfemalefinalattacka
3301,attack,[DNT] Test Rat,1,female,yes,1,251586,108779|110356,7793|10395,9,trollfemalmainattackb
8992,attack,[DNT] Test Rat,1,female,yes,1,236984,130675,8103,5,bloodelffemalepcattacka
18496,attack,[DNT] Test Rat,1,female,yes,1,251586,110166|110303,832,10,goblinfemale_attack02
31715,attack,[DNT] Test Rat,1,female,yes,1,251586,110327|110364,3968,10,vo_pcpandarenfemale_attack01
95752,attack,[DNT] Test Rat,1,female,yes,1,251586,108798|108865,9931,10,vo_735_pc_-_nightborne_elf_female_attack_01
110550,attack,[DNT] Test Rat,1,female,yes,1,251586,110219,10845,10,vo_801_pc_maghar_orc_female_attack_01
113661,attack,[DNT] Tortollan 1,1,female,yes,1,255635,82908|87552,10246,10,mon_tortollan_male_attack01
113662,attack_critical,[DNT] Tortollan 1,1,female,yes,1,255635,82908|87552,10246,5,mon_tortollan_male_attackcrit01
95752,attack,[DNT] Training Questgiver,1,female,yes,1,187716,106237,9931,10,vo_735_pc_-_nightborne_elf_female_attack_01
2925,attack,[DNT] Training Questgiver 2,1,female,yes,1,187430,106146,7203,10,dwarffemalemainattackc
225,attack,[DNT] Water Three,1,female,yes,1,199697,102978,7576,10,taurenfemalefinalattackb
85456,attack,[DNT] ZED EXPORT TEST ZGS,1,female,yes,1,248757,131377,16188,10,mon_shadowguardethereal_attack_01
85457,attack_critical,[DNT] ZED EXPORT TEST ZGS,1,female,yes,1,248757,131377,16188,5,mon_shadowguardethereal_attackcrit_01
168171,attack,[DNT][UNUSED]Fallen Aspirant,1,female,yes,1,157259,92171,11685,10,mon_kyrianfemale_dark_attack_10_168171
168172,attack_critical,[DNT][UNUSED]Fallen Aspirant,1,female,yes,1,157259,92171,11685,5,mon_kyrianfemale_dark_attackcritical_05_168172
168117,attack,[DNT][UNUSED]Wounded Aspirant,1,female,yes,1,156397,93191|93192|93193,11684,10,mon_noisy_kyrian_valiant_attack_10_168117
168118,attack_critical,[DNT][UNUSED]Wounded Aspirant,1,female,yes,1,156397,93191|93192|93193,11684,5,mon_noisy_kyrian_valiant_attackcritical_05_168118
2937,attack,[DNT]Alliance Soldier,1,female,yes,5,229126|229229|229231|229237|229538,81539|81540|81541|81542,7599,10,humanfeamlemainattackb
2937,attack,[DNT]Beggar and Soldier Kill Credit,1,female,yes,1,232325,37075,7599,10,humanfeamlemainattackb
2937,attack,[DNT]Brewston Freed,1,female,yes,1,232689,7610,7599,10,humanfeamlemainattackb
2937,attack,[DNT]Defias Proxy,1,female,yes,1,230590,110942|110943,7599,10,humanfeamlemainattackb
2933,attack,[DNT]Dream Infusion Proxy,1,female,yes,1,212875,102890|102891,7300,4,nightelffemalemainattackc
8992,attack,[DNT]Dream Infusion Proxy,1,female,yes,1,212875,102886|102887,8103,5,bloodelffemalepcattacka
2937,attack,[DNT]Eleanor Furthson,1,female,yes,1,231189,110953,7599,10,humanfeamlemainattackb
2937,attack,[DNT]Faerin Tracking,1,female,yes,1,232677,37075,7599,10,humanfeamlemainattackb
2937,attack,[DNT]Lily Gilbreath,1,female,yes,1,231191,7610,7599,10,humanfeamlemainattackb
2937,attack,[DNT]Luma Noss,1,female,yes,1,231190,129031,7599,10,humanfeamlemainattackb
2937,attack,[DNT]Moving to Danath,1,female,yes,1,231256,37075,7599,10,humanfeamlemainattackb
2937,attack,[DNT]Preacher Credit,1,female,yes,1,232326,37075,7599,10,humanfeamlemainattackb
2933,attack,[DNT]Primalist Proxy,1,female,yes,1,208475,102890|102891,7300,4,nightelffemalemainattackc
8992,attack,[DNT]Primalist Proxy,1,female,yes,1,208475,102886|102887,8103,5,bloodelffemalepcattacka
2937,attack,[DNT]Suspicious Brigand,1,female,yes,1,181187,3618,7599,10,humanfeamlemainattackb
2925,attack,[DNT]Woodcutter,1,female,yes,1,233215,58227|58578,7203,10,dwarffemalemainattackc
2937,attack,[DNT]Woodcutter,1,female,yes,1,233215,58226,7599,10,humanfeamlemainattackb
115456,attack,[DNT]Woodcutter,1,female,yes,1,233215,91495,10532,9,mon_kultiran_female_heavy_attack_06
115457,attack_critical,[DNT]Woodcutter,1,female,yes,1,233215,91495,10532,5,mon_kultiran_female_heavy_attackcrit_02
209,attack,[NOT USED] Blackwing Assassin,1,female,yes,1,12421,11992|11993,7200,12,vo_pcorcfemale_attack_01
209,attack,[NOT USED] Blackwing Warlord,1,female,yes,1,12462,14298|14299,7200,12,vo_pcorcfemale_attack_01
367,attack,[NOT USED] Death Talon Earthshaker,1,female,yes,1,12469,12889,1011,3,mdragonspawnattack2
368,attack_critical,[NOT USED] Death Talon Earthshaker,1,female,yes,1,12469,12889,1011,1,mdragonspawnattackcritical1
209,attack,[NOT USED] Death Talon Firetongue,1,female,yes,1,12470,11992|11993,7200,12,vo_pcorcfemale_attack_01
53639,attack,[PH] Aspirant's Spirit,1,female,yes,1,93648,25801,2856,10,mon_vrykulfemale_v2_attack_01
53640,attack_critical,[PH] Aspirant's Spirit,1,female,yes,1,93648,25801,2856,5,mon_vrykulfemale_v2_attackcrit_01
8992,attack,[PH] Brewfest Blood Elf Reveler,1,female,yes,1,23610,21838|21840,8103,5,bloodelffemalepcattacka
8988,attack,[PH] Brewfest Draenei Reveler,1,female,yes,1,23613,21842|21843,7692,10,draeneifemalepcattackc
2925,attack,[PH] Brewfest Dwarf Female Celebrant,1,female,yes,1,23820,21848|21849,7203,10,dwarffemalemainattackc
2925,attack,[PH] Brewfest Dwarf Reveler,1,female,yes,1,23479,21848|21849,7203,10,dwarffemalemainattackc
3269,attack,[PH] Brewfest Gnome Reveler,1,female,yes,1,23614,21850|21852,7130,10,gnomefemalemainattacka
18496,attack,[PH] Brewfest Goblin Female Celebrant,1,female,yes,1,23824,21856|21857,832,10,goblinfemale_attack02
18496,attack,[PH] Brewfest Goblin Reveler,1,female,yes,1,23540,21856|21857,832,10,goblinfemale_attack02
2937,attack,[PH] Brewfest Human Reveler,1,female,yes,1,23480,21858|21860,7599,10,humanfeamlemainattackb
2933,attack,[PH] Brewfest Night Elf Reveler,1,female,yes,1,23615,21862|21864,7300,4,nightelffemalemainattackc
209,attack,[PH] Brewfest Orc Reveler,1,female,yes,1,23607,21866|21868,7200,12,vo_pcorcfemale_attack_01
225,attack,[PH] Brewfest Tauren Reveler,1,female,yes,1,23608,21871|21873,7576,10,taurenfemalefinalattackb
1361,attack,[PH] Brewfest Undead Reveler,1,female,yes,1,23611,21878|21880,7578,10,undeadfemalefinalattacka
2933,attack,[PH] Bri's Test NPC,1,female,yes,1,25139,1543,7300,4,nightelffemalemainattackc
2937,attack,[PH] Calia Menethil,1,female,yes,1,102790,67797,7599,10,humanfeamlemainattackb
2937,attack,[PH] Captain,1,female,yes,1,37831,5446,7599,10,humanfeamlemainattackb
2937,attack,[PH] Dalaran Commoner,1,female,yes,1,27128,3718|18052,7599,10,humanfeamlemainattackb
2925,attack,[PH] Darkmoon Carnie APPEARANCE A,1,female,yes,1,23629,21669,7203,10,dwarffemalemainattackc
2937,attack,[PH] Darkmoon Carnie APPEARANCE A,1,female,yes,1,23629,21667,7599,10,humanfeamlemainattackb
2933,attack,[PH] Darkmoon Carnie APPEARANCE B,1,female,yes,1,23630,14912,7300,4,nightelffemalemainattackc
8988,attack,[PH] Darkmoon Carnie APPEARANCE B,1,female,yes,1,23630,21671,7692,10,draeneifemalepcattackc
3269,attack,[PH] Darkmoon Carnie APPEARANCE C,1,female,yes,1,23631,21674,7130,10,gnomefemalemainattacka
8992,attack,[PH] Darkmoon Carnie APPEARANCE C,1,female,yes,1,23631,21676,8103,5,bloodelffemalepcattacka
225,attack,[PH] Darkmoon Carnie APPEARANCE D,1,female,yes,1,23632,21680,7576,10,taurenfemalefinalattackb
3301,attack,[PH] Darkmoon Carnie APPEARANCE D,1,female,yes,1,23632,21678,7793,9,trollfemalmainattackb
1361,attack,[PH] Darkmoon Carnie APPEARANCE E,1,female,yes,1,23633,21681,7578,10,undeadfemalefinalattacka
8992,attack,[PH] Darkmoon Carnie APPEARANCE E,1,female,yes,1,23633,21683,8103,5,bloodelffemalepcattacka
209,attack,[PH] Darkmoon Carnie APPEARANCE F,1,female,yes,1,23634,14914,7200,12,vo_pcorcfemale_attack_01
2941,attack,[PH] Dragonblight Scarlet Onslaught,1,female,yes,1,26296,1614,7661,10,humanmalemainattackb
1361,attack,[PH] Dragonblight Scourge Carrion Fields,1,female,yes,1,26292,2587,7578,10,undeadfemalefinalattacka
1361,attack,[PH] Dragonblight Scourge Galakrond Rest,1,female,yes,1,26317,2587,7578,10,undeadfemalefinalattacka
1361,attack,[PH] Dragonblight Scourge Obsidian Dragonshire,1,female,yes,1,26318,2587,7578,10,undeadfemalefinalattacka
1361,attack,[PH] Dragonblight Scourge Ruby Dragonshrine,1,female,yes,1,26320,2587,7578,10,undeadfemalefinalattacka
1129,attack,[PH] Dryad,1,female,yes,1,200919,62290,13006,3,dryadattacka
8992,attack,[PH] Edgewalker,1,female,yes,1,214633,82403,9935,5,bloodelffemalepcattacka
1129,attack,[PH] Enemy Dryad,1,female,yes,1,206364,114582,13006,3,dryadattacka
18496,attack,[PH] Festival Fire Juggler,1,female,yes,1,25515,16431,832,10,goblinfemale_attack02
18496,attack,[PH] Goblin Savage,1,female,yes,1,16608,14303,832,10,goblinfemale_attack02
115456,attack,[PH] Good Witch,1,female,yes,1,134837,83904|83928,10532,9,mon_kultiran_female_heavy_attack_06
115457,attack_critical,[PH] Good Witch,1,female,yes,1,134837,83904|83928,10532,5,mon_kultiran_female_heavy_attackcrit_02
8992,attack,"[PH] Gossip NPC Blood Elf Female, Hallow's End",1,female,yes,1,24294,22360,8103,5,bloodelffemalepcattacka
8992,attack,"[PH] Gossip NPC Blood Elf Female, Lunar Festival",1,female,yes,1,19095,18840,8103,5,bloodelffemalepcattacka
8992,attack,"[PH] Gossip NPC Blood Elf Female, Winter Veil",1,female,yes,1,19084,18785,8103,5,bloodelffemalepcattacka
8988,attack,"[PH] Gossip NPC Draenei Female, Hallow's End",1,female,yes,1,24296,22362,7692,10,draeneifemalepcattackc
8988,attack,"[PH] Gossip NPC Draenei Female, Lunar Festival",1,female,yes,1,19094,18842,7692,10,draeneifemalepcattackc
8988,attack,"[PH] Gossip NPC Draenei Female, Winter Veil",1,female,yes,1,19082,18794,7692,10,draeneifemalepcattackc
2925,attack,"[PH] Gossip NPC Dwarf Female, Hallow's End",1,female,yes,1,24298,22364,7203,10,dwarffemalemainattackc
2925,attack,"[PH] Gossip NPC Dwarf Female, Lunar Festival",1,female,yes,1,19092,18844,7203,10,dwarffemalemainattackc
2925,attack,"[PH] Gossip NPC Dwarf Female, Winter Veil",1,female,yes,1,19078,18796,7203,10,dwarffemalemainattackc
3269,attack,"[PH] Gossip NPC Gnome Female, Hallow's End",1,female,yes,1,24302,22366,7130,10,gnomefemalemainattacka
3269,attack,"[PH] Gossip NPC Gnome Female, Lunar Festival",1,female,yes,1,19129,18846,7130,10,gnomefemalemainattacka
3269,attack,"[PH] Gossip NPC Gnome Female, Winter Veil",1,female,yes,1,19125,18798,7130,10,gnomefemalemainattacka
18496,attack,"[PH] Gossip NPC Goblin Female, Hallow's End",1,female,yes,1,24304,22368,832,10,goblinfemale_attack02
18496,attack,"[PH] Gossip NPC Goblin Female, Lunar Festival",1,female,yes,1,20105,19341,832,10,goblinfemale_attack02
